controller,step,time_s,intervened,nominal_u1,nominal_u2,nominal_u3,executed_u1,executed_u2,executed_u3,action_change_norm,slosh_mm,distance_to_goal_m
PD + BRT,175,1.7600,1,-3.1165962,-0.0402989,1.3794410,0.0877763,0.0274933,-0.0425762,3.5063844,0.21507,0.397457
PD + BRT,176,1.7700,1,-3.1170461,-0.0407734,1.3814142,0.0158917,-0.0967598,-0.1066404,3.4688241,0.25696,0.396907
PD + BRT,177,1.7800,1,-3.1153791,-0.0375291,1.3853110,0.0271485,-0.0744630,-0.0705172,3.4635644,0.29402,0.396365
PD + BRT,178,1.7900,1,-3.1140745,-0.0349380,1.3881384,0.0016327,-0.0432120,-0.0698958,3.4399948,0.32465,0.395830
PD + BRT,179,1.8000,1,-3.1120305,-0.0332731,1.3909540,0.0764184,-0.0177490,-0.0673504,3.5061517,0.34945,0.395302
PD + BRT,180,1.8100,1,-3.1122518,-0.0323670,1.3937004,0.0604758,-0.0490443,-0.1153756,3.5133727,0.36940,0.394783
PD + BRT,181,1.8200,1,-3.1120307,-0.0305224,1.3978937,-0.0052727,-0.0528068,-0.0485951,3.4270647,0.38164,0.394273
PD + BRT,182,1.8300,1,-3.1098697,-0.0285588,1.4000993,0.0587981,0.0503100,-0.0559008,3.4880672,0.38601,0.393769
PD + BRT,183,1.8400,1,-3.1096499,-0.0296818,1.4025260,0.1410842,-0.0148966,-0.1124004,3.5864317,0.38688,0.393274
PD + BRT,184,1.8500,1,-3.1119301,-0.0288627,1.4066517,0.0219487,-0.0885086,-0.1500165,3.4997101,0.38341,0.392793
PD + BRT,185,1.8600,1,-3.1106839,-0.0258358,1.4119205,0.0422231,0.0279659,0.0128416,3.4498029,0.37315,0.392318
PD + BRT,186,1.8700,1,-3.1100695,-0.0262893,1.4123261,-0.0073643,0.0925691,-0.1187738,3.4619610,0.35565,0.391851
PD + BRT,187,1.8800,1,-3.1079948,-0.0286903,1.4166696,0.3423781,-0.0250467,-0.0122297,3.7345469,0.34090,0.391390
